Ind,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25
1,0.5738097747,2.554276489,4.377060018,1,0.6008300117,4.246922736,1.02744152,4.915712095,5,2.537229563,4.568034393,0.6914047127,3.003921783,2.477559488,3.281915576,4.790866372,1.765970785,3.084461884,1.006571005,4.133567531,2.156951207,1.237778303,1.364582582,2.534586179,2.786083517
2,0.7617534205,1.664217591,0.4135160064,1,1.981889472,3.710135279,2.293745476,0.08077601895,5,4.454508395,3.733355428,0.2040592049,2.451947249,1.213342766,4.2269229,4.289015197,0.06803483903,2.460360889,4.988204919,4.173054736,0.04910009901,0.2020467197,3.481648908,2.002286067,3.235471895
3,0.908324391,5.170606856,0.4420244759,1,1.374793609,2.335246034,3.970236868,2.567946111,5,3.378008286,2.854212444,4.089224177,4.379377359,2.299071789,2.438257299,1.60683257,3.614861053,4.959997517,2.890501568,1.345130215,0.4158763062,3.936139199,3.000062879,0.08738089268,3.655512069
4,0.274570207,9.426540316,4.805822097,1,3.424816357,0.7888112731,2.359461865,3.658518296,5,3.579727315,0.5696596305,2.264119555,0.9809279277,4.031019232,0.3728283387,3.314130742,1.98447166,2.243080072,2.74409698,4.604813593,3.674545384,3.802268051,0.8800966115,2.286359834,0.7650321557
5,0.7420026674,6.199071522,1.669109813,1,0.9704932418,2.812364299,2.185976521,1.527213943,5,4.366864316,2.635854208,3.56456939,1.789171932,2.731336212,3.813753299,2.60917532,1.577124236,3.835500391,1.144384908,4.380915715,2.676158417,4.720735149,0.6632838699,4.396695666,1.707938196
6,0.6088848655,8.467115562,4.229202114,1,2.160048251,4.193212957,4.789576605,1.18383716,5,1.685874587,1.172101434,4.034452774,0.4947926448,0.7974227563,3.445077491,0.5366601609,0.9497816765,0.7490249731,0.8123019675,2.382558543,3.559694818,4.746511807,0.7108054358,0.2907654928,4.279371618
7,0.4630657075,1.517101834,0.6061755322,1,4.838705535,4.814629372,1.146336107,3.913616448,5,4.636742042,0.03306487369,3.350443668,0.004662368418,1.32779952,4.676049639,2.649002595,4.172399701,0.1118754656,0.5694625967,1.205393886,0.6970394241,3.651123225,1.015481615,2.86776443,3.700195726
8,0.02038427807,5.404800627,4.180672562,1,3.103347002,4.774178461,2.589265744,3.27673895,5,3.132325604,1.553032301,3.534814725,1.52891663,4.697301071,0.3313997507,4.020784599,0.2091930072,4.543886725,0.009207593858,2.194438199,4.247050916,1.53190217,1.791021763,1.57288569,3.879301467
9,0.4189289745,6.724199486,2.528660324,1,1.01374144,2.060820515,1.648243774,4.530418588,5,4.765950575,3.692515753,2.398240346,3.016299206,4.067897114,4.017723729,3.838680237,4.84686545,1.23555928,0.4646736282,2.040707991,0.8268153489,2.162738002,4.044064598,2.937783419,2.509195064
10,0.4186091114,8.638575122,3.833621394,1,1.134316762,4.781989195,0.895549071,1.845139599,5,1.87317219,4.981244733,0.2304694352,2.636051903,2.223731294,1.045171736,4.120219902,2.34412678,2.434740956,3.425093136,3.066825712,3.695089538,0.6207171187,0.32494174,3.609303349,4.231663034
11,0.4942825669,9.601620288,1.283194512,1,4.642153094,1.660152481,0.5947577295,4.040913822,5,3.140706983,0.8389151332,4.84502023,4.743498614,3.431837793,4.631906947,3.471488068,4.15977183,2.158630791,0.2900766379,0.2134302696,4.181704754,4.958216175,4.988568699,4.111350491,3.218947218
12,0.7689881729,1.904336215,1.172347018,1,2.162024571,0.9248574057,2.888610737,3.95815862,5,0.3195646219,4.493029905,0.8229110708,0.3497742174,0.7905706386,1.2258677,0.4844190247,0.1613266321,0.6021560286,1.036490231,1.714805495,4.365857756,1.380994206,4.789318913,2.615223954,1.518558506
13,0.460449458,1.065011957,2.786135351,1,4.221036242,0.2447827911,1.335086141,1.87320658,5,1.077153732,0.1325751455,4.583859343,2.822590614,3.185928266,3.328932056,3.471882831,1.140211668,0.6390539372,3.749403844,4.745407747,2.54396503,0.5743151855,2.24686853,0.8917746505,0.8975385907
14,0.5449134502,2.485055661,1.459522125,1,0.729517147,0.185908651,1.287070177,3.589591144,5,2.671221198,1.617593646,0.1955882253,0.188479608,0.399926024,3.440897443,3.600703716,4.234619583,2.149847372,4.271717364,4.36548399,4.077589678,1.954970555,1.172380047,3.325682393,2.072887979
15,0.0267397897,5.75841788,2.484167274,1,3.209849793,3.211006238,4.449466359,4.867318136,5,2.497129923,2.51055767,2.131565069,2.175953053,4.018889543,3.56498081,2.313811449,0.6248903978,4.521001392,4.793905731,2.241364253,4.754114219,3.85469486,3.570187,3.085707249,4.096955515
16,0.09254394657,9.605589784,0.07895836174,1,1.010822966,0.7610362289,3.362145199,2.122184817,5,1.968999256,1.811150116,2.811251289,4.990565473,1.175971944,1.935599145,1.660508115,0.2792124282,1.541268325,1.286811868,2.401255038,4.118271067,2.218951798,3.329246214,1.6494905,2.876402451
17,0.1581283246,8.18908419,2.211025729,1,4.336310125,0.3023800578,3.10316528,2.688501124,5,1.948208456,4.872069904,1.79276023,0.4106170621,4.708582574,1.624147386,2.418513226,3.521649029,4.420020662,1.060469647,0.6723254319,2.748051243,3.792612129,1.959773493,3.680492105,1.179659096
18,0.3410686223,9.997639887,4.014299254,1,2.987064599,2.21082753,3.126650159,3.766280082,5,0.08640846384,2.783575414,4.400565269,1.7571673,4.903512829,0.2045859924,0.7310853094,1.62508666,3.408813601,2.550511252,0.8415834487,3.981791102,3.031812959,1.251585591,4.084714518,3.319375653
19,0.3845974616,5.747479632,3.511381572,1,0.4498363621,3.412695542,3.550483717,1.733791994,5,4.127123756,4.156175252,4.263216156,2.567057131,0.1559830898,3.428579473,0.8275077527,2.888335383,3.637174564,2.639216956,2.031701437,3.510247586,4.802021224,4.712440294,0.4180239898,0.5748577838
20,0.3949519514,8.50387792,3.781202581,1,0.8121711938,1.971690636,1.255267869,0.9253228145,5,2.224620612,3.814518929,2.218993745,2.20791862,0.7572887722,2.859869471,1.266381029,0.06342704668,4.547956876,4.956484138,0.4273462138,2.902093776,0.1531694304,1.514243553,1.30118445,0.06928470102
21,0.4387583692,4.543171289,3.732986685,1,2.377600989,0.8787598962,1.205484014,1.676145432,5,1.936581699,2.540751589,0.3970009021,0.296579389,4.466530664,1.474169311,0.4771250301,3.367823173,2.645104999,0.1836595754,2.523621199,1.912015935,4.37305166,3.328219574,4.22689281,0.7650092934
